1.6,75,6.1,2
1.6,110,6.5,2
1.6,95,8.5,1
1.6,120,8.6,1
1.6,102,7.8,1
1.2,115,9.3,1
1.5,75,5.7,2
1.5,90,6.0,2
3.6,280,12.6,1
2.0,170,7.6,2
2.4,170,11.7,1
1.2,69,6.1,1
1.3,75,4.8,2
2.9,450,17.2,1
2.0,190,8.6,1
3.0,240,9.8,2
2.0,170,7.2,2
2.0,150,9.0,1
2.0,121,6.2,1
2.2,150,7.9,2
3.8,265,12.4,1
2.4,162,10.5,1
4.3,283,12.1,1
2.0,136,5.2,1
1.2,110,6.2,1
1.0,60,6.7,1
1.4,105,5.0,2
1.8,180,7.6,1
2.0,220,9.2,1
1.6,105,5.6,2
2.0,184,6.5,2
2.0,280,10.3,1
2.0,220,9.6,1
2.0,190,6.8,2
2.0,190,9.2,1
2.0,180,9.9,1
3.5,275,10.1,1
2.4,167,8.9,1
1.6,132,7.0,1
1.4,90,5.2,2
3.0,173,10.3,2
3.0,163,10.7,2
2.0,165,6.4,2
1.6,180,9.3,1
1.4,140,8.7,1
1.2,110,8.8,1
1.5,131,6.1,2
1.4,75,6.7,1
1.9,100,7.9,2
2.5,146,8.6,2
2.2,147,9.2,1
